a,b,set,protocol,metric,group,n_queries,mean_a,mean_b,delta,ci_low,ci_high,p_value,n_resamples
e5-small-ru-law,e5-small,test,chunk,ndcg@10,all,728,0.85931,0.80199,0.05732,0.04184,0.07281,0.00020,10000
e5-small-ru-law,e5-small,test,chunk,ndcg@10,slice=seen,293,0.86537,0.78511,0.08027,0.05560,0.10561,0.00020,10000
e5-small-ru-law,e5-small,test,chunk,ndcg@10,slice=unseen_articles,218,0.84737,0.78941,0.05796,0.03068,0.08650,0.00040,10000
e5-small-ru-law,e5-small,test,chunk,ndcg@10,slice=unseen_codes,217,0.86312,0.83741,0.02571,-0.00023,0.05223,0.05219,10000
e5-small-ru-law,e5-large,test,chunk,ndcg@10,all,728,0.85931,0.85873,0.00058,-0.01634,0.01715,0.96070,10000
e5-small-ru-law,e5-large,test,chunk,ndcg@10,slice=seen,293,0.86537,0.86685,-0.00147,-0.02869,0.02618,0.91531,10000
e5-small-ru-law,e5-large,test,chunk,ndcg@10,slice=unseen_articles,218,0.84737,0.84532,0.00204,-0.02923,0.03258,0.88531,10000
e5-small-ru-law,e5-large,test,chunk,ndcg@10,slice=unseen_codes,217,0.86312,0.86124,0.00188,-0.02664,0.02993,0.89071,10000
e5-small-ru-law,FRIDA,test,chunk,ndcg@10,all,728,0.85931,0.87828,-0.01897,-0.03629,-0.00183,0.03120,10000
e5-small-ru-law,FRIDA,test,chunk,ndcg@10,slice=seen,293,0.86537,0.87346,-0.00808,-0.03470,0.01874,0.56374,10000
e5-small-ru-law,FRIDA,test,chunk,ndcg@10,slice=unseen_articles,218,0.84737,0.87332,-0.02596,-0.06121,0.00874,0.13959,10000
e5-small-ru-law,FRIDA,test,chunk,ndcg@10,slice=unseen_codes,217,0.86312,0.88977,-0.02665,-0.05690,0.00404,0.08999,10000
e5-small-ru-law,e5-small,test,article,ndcg@10,all,728,0.82257,0.75715,0.06542,0.04935,0.08196,0.00020,10000
e5-small-ru-law,e5-small,test,article,ndcg@10,slice=seen,293,0.83509,0.74738,0.08770,0.06204,0.11498,0.00020,10000
e5-small-ru-law,e5-small,test,article,ndcg@10,slice=unseen_articles,218,0.81650,0.74194,0.07456,0.04418,0.10613,0.00020,10000
e5-small-ru-law,e5-small,test,article,ndcg@10,slice=unseen_codes,217,0.81179,0.78562,0.02616,-0.00197,0.05513,0.06919,10000
e5-small-ru-law,e5-small,test,chunk_tkfmt,ndcg@10,all,728,0.86463,0.81037,0.05427,0.03963,0.06944,0.00020,10000
e5-small-ru-law,e5-small,test,chunk_tkfmt,ndcg@10,slice=seen,293,0.86732,0.78994,0.07738,0.05401,0.10159,0.00020,10000
e5-small-ru-law,e5-small,test,chunk_tkfmt,ndcg@10,slice=unseen_articles,218,0.85090,0.80208,0.04882,0.02170,0.07705,0.00080,10000
e5-small-ru-law,e5-small,test,chunk_tkfmt,ndcg@10,slice=unseen_codes,217,0.87481,0.84627,0.02854,0.00362,0.05385,0.02540,10000
e5-small-ru-law,e5-small,tk_hard,chunk,ndcg@10,all,716,0.81977,0.71043,0.10933,0.09124,0.12786,0.00020,10000
e5-small-ru-law,e5-small,tk_hard,chunk,ndcg@10,slice=seen,644,0.81638,0.70196,0.11442,0.09473,0.13427,0.00020,10000
e5-small-ru-law,e5-small,tk_hard,chunk,ndcg@10,slice=unseen_articles,72,0.85003,0.78617,0.06386,0.01417,0.11502,0.01260,10000
e5-small-ru-law,e5-large,tk_hard,chunk,ndcg@10,all,716,0.81977,0.82018,-0.00042,-0.01969,0.01830,0.95750,10000
e5-small-ru-law,e5-large,tk_hard,chunk,ndcg@10,slice=seen,644,0.81638,0.82129,-0.00491,-0.02461,0.01410,0.62734,10000
e5-small-ru-law,e5-large,tk_hard,chunk,ndcg@10,slice=unseen_articles,72,0.85003,0.81026,0.03977,-0.01796,0.09913,0.17978,10000
e5-small-ru-law,FRIDA,tk_hard,chunk,ndcg@10,all,716,0.81977,0.85416,-0.03439,-0.05506,-0.01478,0.00060,10000
e5-small-ru-law,FRIDA,tk_hard,chunk,ndcg@10,slice=seen,644,0.81638,0.85388,-0.03750,-0.05856,-0.01649,0.00020,10000
e5-small-ru-law,FRIDA,tk_hard,chunk,ndcg@10,slice=unseen_articles,72,0.85003,0.85662,-0.00660,-0.05603,0.03998,0.79232,10000
e5-small-ru-law,e5-small,tk_hard,chunk_tkfmt,ndcg@10,all,716,0.82099,0.71687,0.10413,0.08599,0.12307,0.00020,10000
e5-small-ru-law,e5-small,tk_hard,chunk_tkfmt,ndcg@10,slice=seen,644,0.81660,0.70874,0.10786,0.08883,0.12824,0.00020,10000
e5-small-ru-law,e5-small,tk_hard,chunk_tkfmt,ndcg@10,slice=unseen_articles,72,0.86030,0.78953,0.07076,0.01448,0.12979,0.01320,10000
e5-small-ru-law,e5-small,golden,chunk,ndcg@10,all,174,0.89371,0.83057,0.06314,0.03341,0.09403,0.00020,10000
e5-small-ru-law,e5-small,golden,chunk,ndcg@10,slice=seen,58,0.91622,0.81222,0.10400,0.04916,0.16418,0.00040,10000
e5-small-ru-law,e5-small,golden,chunk,ndcg@10,slice=unseen_articles,58,0.82537,0.78393,0.04144,-0.00429,0.08960,0.07379,10000
