a,b,set,protocol,metric,group,n_queries,mean_a,mean_b,delta,ci_low,ci_high,p_value,n_resamples
ft2-e5-small,e5-small,test,chunk,ndcg@10,all,728,0.84564,0.80199,0.04365,0.02709,0.06017,0.00000,10000
ft2-e5-small,e5-small,test,chunk,ndcg@10,slice=seen,293,0.85235,0.78511,0.06725,0.04087,0.09413,0.00000,10000
ft2-e5-small,e5-small,test,chunk,ndcg@10,slice=unseen_articles,218,0.83890,0.78941,0.04949,0.01852,0.08220,0.00200,10000
ft2-e5-small,e5-small,test,chunk,ndcg@10,slice=unseen_codes,217,0.84333,0.83741,0.00592,-0.02108,0.03483,0.68860,10000
ft2-e5-small,ft-e5-small,test,chunk,ndcg@10,all,728,0.84564,0.84470,0.00094,-0.00945,0.01154,0.85500,10000
ft2-e5-small,ft-e5-small,test,chunk,ndcg@10,slice=seen,293,0.85235,0.83481,0.01754,0.00146,0.03433,0.03300,10000
ft2-e5-small,ft-e5-small,test,chunk,ndcg@10,slice=unseen_articles,218,0.83890,0.84460,-0.00570,-0.02412,0.01310,0.54360,10000
ft2-e5-small,ft-e5-small,test,chunk,ndcg@10,slice=unseen_codes,217,0.84333,0.85816,-0.01482,-0.03587,0.00582,0.15660,10000
ft2-e5-small,e5-large,test,chunk,ndcg@10,all,728,0.84564,0.85873,-0.01310,-0.03073,0.00441,0.14200,10000
ft2-e5-small,e5-large,test,chunk,ndcg@10,slice=seen,293,0.85235,0.86685,-0.01449,-0.04253,0.01449,0.33800,10000
ft2-e5-small,e5-large,test,chunk,ndcg@10,slice=unseen_articles,218,0.83890,0.84532,-0.00642,-0.03871,0.02516,0.69620,10000
ft2-e5-small,e5-large,test,chunk,ndcg@10,slice=unseen_codes,217,0.84333,0.86124,-0.01791,-0.04816,0.01218,0.23720,10000
ft2-e5-small,FRIDA,test,chunk,ndcg@10,all,728,0.84564,0.87828,-0.03264,-0.05181,-0.01372,0.00060,10000
ft2-e5-small,FRIDA,test,chunk,ndcg@10,slice=seen,293,0.85235,0.87346,-0.02110,-0.05028,0.00805,0.15820,10000
ft2-e5-small,FRIDA,test,chunk,ndcg@10,slice=unseen_articles,218,0.83890,0.87332,-0.03443,-0.07210,0.00199,0.06220,10000
ft2-e5-small,FRIDA,test,chunk,ndcg@10,slice=unseen_codes,217,0.84333,0.88977,-0.04643,-0.08009,-0.01274,0.00840,10000
ft2-e5-small,e5-small,test,chunk_tkfmt,ndcg@10,all,728,0.84923,0.81037,0.03887,0.02248,0.05553,0.00000,10000
ft2-e5-small,e5-small,test,chunk_tkfmt,ndcg@10,slice=seen,293,0.86051,0.78994,0.07057,0.04421,0.09798,0.00000,10000
ft2-e5-small,e5-small,test,chunk_tkfmt,ndcg@10,slice=unseen_articles,218,0.82818,0.80208,0.02610,-0.00624,0.05906,0.11520,10000
ft2-e5-small,e5-small,test,chunk_tkfmt,ndcg@10,slice=unseen_codes,217,0.85516,0.84627,0.00889,-0.01732,0.03565,0.50320,10000
ft2-e5-small,e5-small,tk_hard,chunk,ndcg@10,all,716,0.80756,0.71043,0.09713,0.07720,0.11736,0.00000,10000
ft2-e5-small,e5-small,tk_hard,chunk,ndcg@10,slice=seen,644,0.80550,0.70196,0.10354,0.08224,0.12512,0.00000,10000
ft2-e5-small,e5-small,tk_hard,chunk,ndcg@10,slice=unseen_articles,72,0.82595,0.78617,0.03979,-0.00959,0.08970,0.11480,10000
ft2-e5-small,ft-e5-small,tk_hard,chunk,ndcg@10,all,716,0.80756,0.79487,0.01269,-0.00106,0.02651,0.07060,10000
ft2-e5-small,ft-e5-small,tk_hard,chunk,ndcg@10,slice=seen,644,0.80550,0.79132,0.01419,-0.00053,0.02931,0.05820,10000
ft2-e5-small,ft-e5-small,tk_hard,chunk,ndcg@10,slice=unseen_articles,72,0.82595,0.82663,-0.00067,-0.04395,0.04310,0.96100,10000
ft2-e5-small,e5-large,tk_hard,chunk,ndcg@10,all,716,0.80756,0.82018,-0.01262,-0.03250,0.00755,0.21700,10000
ft2-e5-small,e5-large,tk_hard,chunk,ndcg@10,slice=seen,644,0.80550,0.82129,-0.01579,-0.03687,0.00498,0.14360,10000
ft2-e5-small,e5-large,tk_hard,chunk,ndcg@10,slice=unseen_articles,72,0.82595,0.81026,0.01569,-0.04300,0.07582,0.61740,10000
ft2-e5-small,FRIDA,tk_hard,chunk,ndcg@10,all,716,0.80756,0.85416,-0.04660,-0.06837,-0.02539,0.00000,10000
ft2-e5-small,FRIDA,tk_hard,chunk,ndcg@10,slice=seen,644,0.80550,0.85388,-0.04838,-0.07098,-0.02534,0.00000,10000
ft2-e5-small,FRIDA,tk_hard,chunk,ndcg@10,slice=unseen_articles,72,0.82595,0.85662,-0.03067,-0.09252,0.02614,0.29980,10000
ft2-e5-small,e5-small,tk_hard,chunk_tkfmt,ndcg@10,all,716,0.79771,0.71687,0.08084,0.06131,0.10089,0.00000,10000
ft2-e5-small,e5-small,tk_hard,chunk_tkfmt,ndcg@10,slice=seen,644,0.79529,0.70874,0.08654,0.06572,0.10787,0.00000,10000
ft2-e5-small,e5-small,tk_hard,chunk_tkfmt,ndcg@10,slice=unseen_articles,72,0.81938,0.78953,0.02985,-0.02792,0.09000,0.31120,10000
ft-e5-small,e5-small,tk_hard,chunk_tkfmt,ndcg@10,all,716,0.79019,0.71687,0.07333,0.05363,0.09332,0.00000,10000
ft-e5-small,e5-small,tk_hard,chunk_tkfmt,ndcg@10,slice=seen,644,0.78675,0.70874,0.07801,0.05741,0.09900,0.00000,10000
ft-e5-small,e5-small,tk_hard,chunk_tkfmt,ndcg@10,slice=unseen_articles,72,0.82099,0.78953,0.03145,-0.02599,0.08921,0.27860,10000
ft2-e5-small,e5-small,golden,chunk,ndcg@10,all,174,0.87017,0.83057,0.03960,0.00969,0.07045,0.00880,10000
ft2-e5-small,e5-small,golden,chunk,ndcg@10,slice=seen,58,0.88800,0.81222,0.07578,0.02143,0.13894,0.00480,10000
ft2-e5-small,e5-small,golden,chunk,ndcg@10,slice=unseen_articles,58,0.82584,0.78393,0.04191,-0.00712,0.09583,0.10260,10000
ft2-e5-small,e5-small,golden,chunk,ndcg@10,slice=unseen_codes,58,0.89666,0.89556,0.00110,-0.04557,0.04753,0.94280,10000
ft2-e5-small,ft-e5-small,golden,chunk,ndcg@10,all,174,0.87017,0.86883,0.00133,-0.01907,0.02103,0.90080,10000
ft2-e5-small,ft-e5-small,golden,chunk,ndcg@10,slice=seen,58,0.88800,0.87133,0.01667,-0.01599,0.05100,0.32080,10000
ft2-e5-small,ft-e5-small,golden,chunk,ndcg@10,slice=unseen_articles,58,0.82584,0.82070,0.00514,-0.02650,0.03530,0.72100,10000
ft2-e5-small,ft-e5-small,golden,chunk,ndcg@10,slice=unseen_codes,58,0.89666,0.91447,-0.01781,-0.05741,0.01987,0.35360,10000
ft2-e5-small,e5-small,test,article,ndcg@10,all,728,0.80676,0.75715,0.04961,0.03206,0.06757,0.00000,10000
ft2-e5-small,e5-small,test,article,ndcg@10,slice=seen,293,0.81610,0.74738,0.06871,0.04022,0.09837,0.00000,10000
ft2-e5-small,e5-small,test,article,ndcg@10,slice=unseen_articles,218,0.80886,0.74194,0.06692,0.03501,0.09892,0.00000,10000
ft2-e5-small,e5-small,test,article,ndcg@10,slice=unseen_codes,217,0.79204,0.78562,0.00642,-0.02460,0.03716,0.67380,10000
