model,ndcg@10,ci_low,ci_high
FRIDA,0.9164921264367816,0.8856381709770115,0.9446831005747126
e5-large-instruct,0.9036181609195404,0.869155091954023,0.9357748318965515
e5-large,0.9068214942528736,0.873004290229885,0.9387775201149425
bge-m3,0.8987125287356321,0.8655707054597701,0.9292606250000001
USER-bge-m3,0.895113448275862,0.8599834640804598,0.9280268936781609
Qwen3-Emb-0.6B,0.8685085632183909,0.8304849008620689,0.9038036465517241
ru-en-RoSBERTa,0.8819804597701151,0.8486783850574713,0.9139447772988506
USER2-base,0.8685550000000002,0.829433456896552,0.904617066091954
e5-base,0.8718516091954023,0.8327710158045977,0.908295966954023
e5-small,0.830570459770115,0.7851066077586208,0.8737619511494251
USER-base,0.7245387356321839,0.6726342054597702,0.772847926724138
BM25,0.7116213218390806,0.6520928318965517,0.7679115488505748
rubert-tiny2,0.4062481034482759,0.3507691408045977,0.46187690086206895
e5-small-ru-law,0.8937117816091955,0.8579194712643676,0.9269740488505749
