model,ndcg@10,ci_low,ci_high
BM25,0.4801622905027933,0.4482009650837989,0.5115545108240223
e5-small,0.710432220670391,0.6834424856843576,0.7367392534916202
e5-base,0.7604447486033519,0.735438655377095,0.784584526885475
e5-large,0.8201831145251397,0.7972756721368714,0.8423599675279329
e5-large-instruct,0.857984874301676,0.8378942723463686,0.8774874196927375
bge-m3,0.8388225,0.8185513023743017,0.858815403631285
USER-base,0.6220720111731844,0.593938999650838,0.6493493365921787
USER-bge-m3,0.8396104329608939,0.818826,0.8597759437849161
USER2-base,0.7916537011173185,0.768113092527933,0.8148203484636872
FRIDA,0.854158687150838,0.8340378149441341,0.8737038921089385
ru-en-RoSBERTa,0.8210446508379888,0.799758998603352,0.8417592255586591
Qwen3-Emb-0.6B,0.7907404888268157,0.7672401019553072,0.8133335991620112
rubert-tiny2,0.34632741620111734,0.3177961843575419,0.3745122660614525
ft-e5-small,0.794867150837989,0.7718811400139665,0.8168378030726257
ft-e5-small-v2,0.8197669553072625,0.7976906071927373,0.8410169881284917
ft-e5-base,0.8244884357541901,0.8035397405726258,0.8444940900837989
