model,set,protocol,n,ci_low,ci_high,params_m,finetuned,ndcg@10,recall@5,recall@10,mrr@10,ndcg@10_seen,recall@10_seen,ndcg@10_unseen_articles,recall@10_unseen_articles,ndcg@10_unseen_codes,recall@10_unseen_codes
BM25,test,chunk,728,0.6403,0.7000,0.0000,False,0.6703,0.7363,0.7761,0.6359,0.6788,0.7747,0.6398,0.7385,0.6894,0.8157
BM25,test,article,728,0.6435,0.7025,0.0000,False,0.6735,0.7431,0.7788,0.6391,0.6865,0.7782,0.6512,0.7523,0.6783,0.8065
BM25,golden,chunk,174,0.6521,0.7679,0.0000,False,0.7116,0.7663,0.7854,0.7018,0.7598,0.8046,0.6615,0.7586,0.7135,0.7931
BM25,golden,article,174,0.6536,0.7683,0.0000,False,0.7119,0.7720,0.7807,0.7118,0.7575,0.8046,0.6683,0.7270,0.7098,0.8103
BM25,external,chunk,25,0.6849,0.9252,0.0000,False,0.8129,0.9200,0.9200,0.7767,,,,,,
BM25,external,article,25,0.7105,0.9409,0.0000,False,0.8357,0.9200,0.9200,0.8067,,,,,,
BM25,dev,chunk,296,0.6080,0.7030,0.0000,False,0.6563,0.7095,0.7635,0.6221,0.6488,0.7523,0.6789,0.7973,,
BM25,dev,article,296,0.6164,0.7120,0.0000,False,0.6648,0.7230,0.7635,0.6329,0.6653,0.7658,0.6631,0.7568,,
e5-small,test,chunk,728,0.7778,0.8258,117.7000,False,0.8020,0.8613,0.9052,0.7686,0.7851,0.8942,0.7894,0.8899,0.8374,0.9355
e5-small,test,article,728,0.7312,0.7823,117.7000,False,0.7572,0.8269,0.8764,0.7189,0.7474,0.8703,0.7419,0.8670,0.7856,0.8940
e5-small,golden,chunk,174,0.7851,0.8738,117.7000,False,0.8306,0.8707,0.9157,0.8199,0.8122,0.9109,0.7839,0.8707,0.8956,0.9655
e5-small,golden,article,174,0.7417,0.8312,117.7000,False,0.7877,0.8659,0.9157,0.7684,0.7522,0.9167,0.7495,0.8477,0.8614,0.9828
e5-small,external,chunk,25,0.9557,1.0000,117.7000,False,0.9852,1.0000,1.0000,0.9800,,,,,,
e5-small,external,article,25,0.8819,0.9852,117.7000,False,0.9409,1.0000,1.0000,0.9200,,,,,,
e5-small,dev,chunk,296,0.7760,0.8522,117.7000,False,0.8149,0.8750,0.9020,0.7866,0.8254,0.9009,0.7832,0.9054,,
e5-small,dev,article,296,0.7346,0.8140,117.7000,False,0.7749,0.8345,0.8885,0.7385,0.7891,0.8919,0.7325,0.8784,,
e5-base,test,chunk,728,0.7998,0.8427,278.0000,False,0.8218,0.9107,0.9341,0.7848,0.8105,0.9283,0.7992,0.9174,0.8598,0.9585
e5-base,test,article,728,0.7513,0.7999,278.0000,False,0.7763,0.8626,0.8984,0.7365,0.7584,0.8840,0.7634,0.8899,0.8134,0.9263
e5-base,golden,chunk,174,0.8328,0.9083,278.0000,False,0.8719,0.9157,0.9511,0.8529,0.8879,0.9828,0.8361,0.8966,0.8916,0.9741
e5-base,golden,article,174,0.7762,0.8630,278.0000,False,0.8203,0.8688,0.9205,0.8073,0.8140,0.9195,0.7783,0.8851,0.8687,0.9569
e5-base,external,chunk,25,0.8714,0.9852,278.0000,False,0.9357,1.0000,1.0000,0.9133,,,,,,
e5-base,external,article,25,0.7136,0.9114,278.0000,False,0.8174,0.9600,0.9600,0.7680,,,,,,
e5-base,dev,chunk,296,0.7904,0.8615,278.0000,False,0.8266,0.8953,0.9155,0.7973,0.8264,0.9099,0.8271,0.9324,,
e5-base,dev,article,296,0.7291,0.8076,278.0000,False,0.7688,0.8480,0.8919,0.7295,0.7711,0.8919,0.7622,0.8919,,
e5-large,test,chunk,728,0.8392,0.8771,559.9000,False,0.8587,0.9272,0.9588,0.8259,0.8668,0.9556,0.8453,0.9541,0.8612,0.9677
e5-large,test,article,728,0.8060,0.8485,559.9000,False,0.8277,0.9066,0.9368,0.7919,0.8425,0.9352,0.8041,0.9312,0.8315,0.9447
e5-large,golden,chunk,174,0.8730,0.9388,559.9000,False,0.9068,0.9377,0.9655,0.8999,0.9491,0.9828,0.8516,0.9224,0.9198,0.9914
e5-large,golden,article,174,0.8116,0.8873,559.9000,False,0.8503,0.9061,0.9397,0.8453,0.8705,0.9511,0.7995,0.8937,0.8809,0.9741
e5-large,external,chunk,25,0.8967,1.0000,559.9000,False,0.9557,1.0000,1.0000,0.9400,,,,,,
e5-large,external,article,25,0.8557,0.9800,559.9000,False,0.9209,1.0000,1.0000,0.8933,,,,,,
e5-large,dev,chunk,296,0.8356,0.9002,559.9000,False,0.8688,0.9189,0.9392,0.8457,0.8686,0.9324,0.8694,0.9595,,
e5-large,dev,article,296,0.8099,0.8793,559.9000,False,0.8453,0.8953,0.9257,0.8191,0.8493,0.9189,0.8331,0.9459,,
e5-large-instruct,test,chunk,728,0.8461,0.8827,559.9000,False,0.8647,0.9368,0.9684,0.8307,0.8660,0.9693,0.8602,0.9633,0.8675,0.9724
e5-large-instruct,test,article,728,0.8160,0.8579,559.9000,False,0.8372,0.9066,0.9409,0.8033,0.8527,0.9420,0.8183,0.9358,0.8355,0.9447
e5-large-instruct,golden,chunk,174,0.8692,0.9358,559.9000,False,0.9036,0.9262,0.9665,0.8972,0.9029,0.9770,0.8592,0.9224,0.9487,1.0000
e5-large-instruct,golden,article,174,0.8244,0.8959,559.9000,False,0.8615,0.9080,0.9502,0.8540,0.9001,0.9598,0.8012,0.8994,0.8833,0.9914
e5-large-instruct,external,chunk,25,0.8819,0.9852,559.9000,False,0.9409,1.0000,1.0000,0.9200,,,,,,
e5-large-instruct,external,article,25,0.8009,0.9595,559.9000,False,0.8885,0.9200,1.0000,0.8524,,,,,,
e5-large-instruct,dev,chunk,296,0.8396,0.9024,559.9000,False,0.8716,0.9189,0.9426,0.8480,0.8743,0.9369,0.8635,0.9595,,
e5-large-instruct,dev,article,296,0.8104,0.8771,559.9000,False,0.8441,0.9020,0.9358,0.8144,0.8436,0.9279,0.8458,0.9595,,
bge-m3,test,chunk,728,0.8364,0.8749,567.8000,False,0.8560,0.9272,0.9574,0.8223,0.8528,0.9488,0.8447,0.9633,0.8716,0.9631
bge-m3,test,article,728,0.8261,0.8672,567.8000,False,0.8470,0.9148,0.9451,0.8149,0.8517,0.9386,0.8393,0.9495,0.8485,0.9493
bge-m3,golden,chunk,174,0.8656,0.9293,567.8000,False,0.8987,0.9492,0.9713,0.8891,0.9056,0.9828,0.8486,0.9310,0.9420,1.0000
bge-m3,golden,article,174,0.8513,0.9186,567.8000,False,0.8864,0.9262,0.9646,0.8766,0.8906,0.9598,0.8446,0.9425,0.9241,0.9914
bge-m3,external,chunk,25,0.9114,1.0000,567.8000,False,0.9557,1.0000,1.0000,0.9400,,,,,,
bge-m3,external,article,25,0.8914,1.0000,567.8000,False,0.9505,1.0000,1.0000,0.9333,,,,,,
bge-m3,dev,chunk,296,0.8210,0.8870,567.8000,False,0.8551,0.9189,0.9324,0.8296,0.8529,0.9234,0.8619,0.9595,,
bge-m3,dev,article,296,0.8207,0.8867,567.8000,False,0.8546,0.9122,0.9392,0.8272,0.8550,0.9369,0.8536,0.9459,,
USER-base,test,chunk,728,0.6563,0.7104,124.0000,False,0.6837,0.7885,0.8448,0.6318,0.6737,0.8396,0.6713,0.8257,0.7096,0.8710
USER-base,test,article,728,0.6607,0.7141,124.0000,False,0.6877,0.7912,0.8489,0.6356,0.6632,0.8225,0.6996,0.8716,0.7088,0.8618
USER-base,golden,chunk,174,0.6726,0.7728,124.0000,False,0.7245,0.8180,0.8784,0.6877,0.7356,0.8879,0.6614,0.8247,0.7766,0.9224
USER-base,golden,article,174,0.6976,0.7893,124.0000,False,0.7448,0.8429,0.9186,0.7051,0.7453,0.9425,0.7046,0.8736,0.7844,0.9397
USER-base,external,chunk,25,0.5862,0.8409,124.0000,False,0.7206,0.8400,0.9200,0.6567,,,,,,
USER-base,external,article,25,0.6199,0.8730,124.0000,False,0.7520,0.8000,0.9200,0.6978,,,,,,
USER-base,dev,chunk,296,0.6318,0.7185,124.0000,False,0.6759,0.7770,0.8345,0.6251,0.6879,0.8468,0.6399,0.7973,,
USER-base,dev,article,296,0.6413,0.7290,124.0000,False,0.6854,0.7838,0.8311,0.6382,0.6958,0.8468,0.6539,0.7838,,
USER-bge-m3,test,chunk,728,0.8251,0.8655,359.0000,False,0.8457,0.9148,0.9519,0.8111,0.8512,0.9488,0.8312,0.9450,0.8529,0.9631
USER-bge-m3,test,article,728,0.8160,0.8576,359.0000,False,0.8372,0.9148,0.9409,0.8032,0.8456,0.9420,0.8278,0.9312,0.8354,0.9493
USER-bge-m3,golden,chunk,174,0.8600,0.9280,359.0000,False,0.8951,0.9282,0.9636,0.8857,0.9023,0.9598,0.8496,0.9310,0.9334,1.0000
USER-bge-m3,golden,article,174,0.8503,0.9182,359.0000,False,0.8853,0.9349,0.9626,0.8766,0.8879,0.9626,0.8395,0.9339,0.9285,0.9914
USER-bge-m3,external,chunk,25,0.8819,0.9852,359.0000,False,0.9409,1.0000,1.0000,0.9200,,,,,,
USER-bge-m3,external,article,25,0.8819,0.9852,359.0000,False,0.9409,1.0000,1.0000,0.9200,,,,,,
