step,epoch,loss,lr,grad_norm,elapsed_s
2,0.08,3.3880090713500977,6e-06,10.842997550964355,12.75
4,0.16,3.0913617610931396,1.8e-05,11.090953826904297,13.89
6,0.24,2.6825151443481445,3e-05,11.690013885498047,15.01
8,0.32,1.9705829620361328,2.8666666666666668e-05,12.07913589477539,27.2
10,0.4,1.2848551273345947,2.7333333333333335e-05,10.822802543640137,28.33
12,0.48,0.7879015207290649,2.6000000000000002e-05,6.773915767669678,29.44
14,0.56,0.5169293880462646,2.4666666666666665e-05,4.9122772216796875,41.08
16,0.64,0.5066486597061157,2.3333333333333336e-05,2.8845367431640625,42.19
18,0.72,0.4045126438140869,2.2e-05,3.3326432704925537,43.29
20,0.8,0.4242042601108551,2.0666666666666666e-05,3.4536240100860596,54.96
22,0.88,0.4041937589645386,1.9333333333333333e-05,3.9127743244171143,56.11
24,0.96,0.5047466158866882,1.8e-05,3.4104177951812744,57.22
26,1.04,0.2754884660243988,1.6666666666666667e-05,2.6511290073394775,68.85
28,1.12,0.2664756178855896,1.533333333333333e-05,1.9551634788513184,70.0
30,1.2,0.18731358647346497,1.4e-05,2.522829055786133,71.11
32,1.28,0.21602456271648407,1.2666666666666667e-05,2.107616424560547,82.74
34,1.3599999999999999,0.2650311589241028,1.1333333333333334e-05,2.3347651958465576,83.85
36,1.44,0.18257656693458557,9.999999999999999e-06,2.1879165172576904,84.97
38,1.52,0.2277449369430542,8.666666666666666e-06,1.7686909437179565,96.65
40,1.6,0.29044389724731445,7.333333333333333e-06,2.387507677078247,97.79
42,1.6800000000000002,0.2009250521659851,6e-06,1.9935394525527954,98.91
44,1.76,0.24874888360500336,4.666666666666667e-06,2.450756788253784,110.66
46,1.8399999999999999,0.31339168548583984,3.3333333333333333e-06,2.3537511825561523,111.79
48,1.92,0.24390855431556702,2e-06,2.3148794174194336,112.89
50,2.0,0.21539205312728882,6.666666666666667e-07,2.101956605911255,124.32
