step,epoch,loss,lr,grad_norm,elapsed_s
2,0.027777777777777776,4.058281898498535,1.3333333333333334e-06,23.00914764404297,26.12
4,0.05555555555555555,3.8190157413482666,4.000000000000001e-06,24.128751754760742,30.76
6,0.08333333333333333,3.7946114540100098,6.666666666666667e-06,25.409231185913086,35.33
8,0.1111111111111111,3.6968681812286377,9.333333333333334e-06,25.47381591796875,40.13
10,0.1388888888888889,3.2377333641052246,1.2e-05,27.230558395385742,44.81
12,0.16666666666666666,3.0030064582824707,1.4666666666666666e-05,27.953760147094727,49.55
14,0.19444444444444445,2.6186342239379883,1.7333333333333336e-05,26.25379180908203,54.24
16,0.2222222222222222,2.2397799491882324,2e-05,24.281963348388672,58.95
18,0.25,1.9362167119979858,1.9689922480620155e-05,20.246976852416992,63.54
20,0.2777777777777778,1.600205898284912,1.937984496124031e-05,16.961467742919922,88.15
22,0.3055555555555556,1.4381535053253174,1.9069767441860468e-05,13.549712181091309,92.82
24,0.3333333333333333,1.2687079906463623,1.875968992248062e-05,13.03246784210205,97.46
26,0.3611111111111111,0.9945635795593262,1.8449612403100777e-05,11.571698188781738,102.28
28,0.3888888888888889,0.9310392737388611,1.813953488372093e-05,10.422219276428223,107.08
30,0.4166666666666667,0.8853896856307983,1.7829457364341087e-05,9.0840482711792,111.75
32,0.4444444444444444,0.7064416408538818,1.7519379844961243e-05,8.135920524597168,116.47
34,0.4722222222222222,0.7430837750434875,1.7209302325581396e-05,8.84624195098877,121.09
36,0.5,0.6388595700263977,1.689922480620155e-05,7.311525344848633,125.64
38,0.5277777777777778,0.7523143291473389,1.6589147286821706e-05,8.41617202758789,149.84
40,0.5555555555555556,0.631529688835144,1.6279069767441862e-05,8.63341999053955,154.33
42,0.5833333333333334,0.7433031797409058,1.5968992248062015e-05,7.830104351043701,158.95
44,0.6111111111111112,0.7323364019393921,1.5658914728682172e-05,9.155558586120605,163.77
46,0.6388888888888888,0.5495254993438721,1.5348837209302328e-05,7.3793816566467285,168.47
48,0.6666666666666666,0.5109913349151611,1.5038759689922481e-05,7.376007080078125,173.36
50,0.6944444444444444,0.6307053565979004,1.4728682170542636e-05,7.185430526733398,178.62
52,0.7222222222222222,0.6193450093269348,1.441860465116279e-05,7.232536792755127,183.95
54,0.75,0.6219841241836548,1.4108527131782947e-05,6.973008632659912,188.8
56,0.7777777777777778,0.5099895000457764,1.3798449612403102e-05,6.700634956359863,214.11
58,0.8055555555555556,0.5947632193565369,1.3488372093023257e-05,8.23241138458252,218.83
60,0.8333333333333334,0.41613268852233887,1.3178294573643412e-05,6.0352911949157715,223.44
62,0.8611111111111112,0.43801504373550415,1.2868217054263568e-05,6.363244533538818,227.97
