step,epoch,loss,lr,grad_norm,elapsed_s
2,0.016,4.223710536956787,1.2000000000000002e-06,8.528193473815918,24.27
4,0.032,4.0319437980651855,3.6e-06,9.581205368041992,26.27
6,0.048,4.088926315307617,6e-06,8.933218002319336,28.32
8,0.064,3.906907796859741,8.400000000000001e-06,9.598160743713379,30.32
10,0.08,3.8103225231170654,1.08e-05,9.912210464477539,32.4
12,0.096,3.481987476348877,1.32e-05,11.302849769592285,34.39
14,0.112,3.2167022228240967,1.56e-05,11.19340991973877,36.36
16,0.128,2.7523651123046875,1.8e-05,12.714218139648438,38.37
18,0.144,2.395679473876953,2.04e-05,12.659442901611328,40.41
20,0.16,1.8608348369598389,2.2800000000000002e-05,10.782130241394043,42.46
22,0.176,1.4277255535125732,2.52e-05,8.01711654663086,44.57
24,0.192,1.2030917406082153,2.7600000000000003e-05,5.8708295822143555,46.56
26,0.208,1.063964605331421,3e-05,5.250032424926758,48.56
28,0.224,0.931541383266449,2.9733333333333336e-05,5.277722358703613,50.59
30,0.24,0.9824680089950562,2.9466666666666667e-05,5.554831504821777,52.64
32,0.256,0.8103855848312378,2.92e-05,5.548364639282227,75.66
34,0.272,0.8687688112258911,2.8933333333333333e-05,5.060505390167236,77.7
36,0.288,0.7881873846054077,2.8666666666666668e-05,4.323513984680176,79.75
38,0.304,0.7970682382583618,2.84e-05,4.387414932250977,81.73
40,0.32,0.7479369640350342,2.8133333333333334e-05,4.9511308670043945,83.77
42,0.336,0.6539943218231201,2.7866666666666665e-05,3.91359543800354,85.76
44,0.352,0.6922547221183777,2.7600000000000003e-05,4.517275810241699,87.69
46,0.368,0.677045464515686,2.7333333333333335e-05,4.5453901290893555,89.76
48,0.384,0.7253670692443848,2.706666666666667e-05,4.284013748168945,91.78
50,0.4,0.8042616248130798,2.68e-05,4.588059902191162,93.8
52,0.416,0.7868539094924927,2.6533333333333336e-05,4.68717098236084,95.94
54,0.432,0.7389048933982849,2.6266666666666667e-05,4.601568222045898,98.0
56,0.448,0.747771143913269,2.6000000000000002e-05,4.0160675048828125,99.99
58,0.464,0.7230706214904785,2.5733333333333333e-05,4.387519836425781,101.93
60,0.48,0.7253673076629639,2.5466666666666668e-05,4.539233207702637,104.02
62,0.496,0.6908016800880432,2.52e-05,4.510270118713379,106.0
64,0.512,0.6745932102203369,2.4933333333333334e-05,4.176460266113281,130.96
66,0.528,0.6235545873641968,2.4666666666666665e-05,4.341193199157715,133.13
68,0.544,0.56834876537323,2.44e-05,4.029914379119873,135.11
70,0.56,0.7017219662666321,2.413333333333333e-05,4.486944198608398,137.12
72,0.576,0.699103057384491,2.3866666666666666e-05,4.070193767547607,139.1
74,0.592,0.5914818048477173,2.3599999999999998e-05,3.679105758666992,141.05
76,0.608,0.6776740550994873,2.3333333333333336e-05,4.0016021728515625,142.99
78,0.624,0.6430364847183228,2.3066666666666667e-05,4.218496322631836,145.02
80,0.64,0.5670980215072632,2.2800000000000002e-05,3.9319233894348145,146.98
82,0.656,0.6775314211845398,2.2533333333333333e-05,4.328237056732178,149.04
84,0.672,0.600763738155365,2.2266666666666668e-05,3.9244329929351807,151.03
86,0.688,0.5534817576408386,2.2e-05,3.837709426879883,153.11
88,0.704,0.5843362212181091,2.1733333333333334e-05,3.567664623260498,155.11
90,0.72,0.6195365190505981,2.1466666666666666e-05,3.731046438217163,157.12
92,0.736,0.5734038352966309,2.12e-05,3.6312050819396973,159.13
94,0.752,0.5411124229431152,2.0933333333333335e-05,3.7091798782348633,183.06
96,0.768,0.6484253406524658,2.0666666666666666e-05,4.151249885559082,185.21
98,0.784,0.6136085987091064,2.04e-05,3.8470981121063232,187.27
100,0.8,0.6506474018096924,2.0133333333333333e-05,4.221500873565674,189.26
102,0.816,0.6906497478485107,1.9866666666666667e-05,3.735931396484375,191.24
104,0.832,0.5509583950042725,1.96e-05,3.9286258220672607,193.2
106,0.848,0.5665571689605713,1.9333333333333333e-05,4.280672550201416,195.23
108,0.864,0.5801962614059448,1.9066666666666668e-05,3.638484239578247,197.24
110,0.88,0.5985495448112488,1.8800000000000003e-05,4.3255109786987305,199.27
112,0.896,0.5471004843711853,1.8533333333333334e-05,3.8650717735290527,201.29
114,0.912,0.5638638734817505,1.826666666666667e-05,4.072088718414307,203.3
116,0.928,0.5475738048553467,1.8e-05,3.7967629432678223,205.3
118,0.944,0.516584038734436,1.7733333333333335e-05,3.5819828510284424,207.32
120,0.96,0.6104474067687988,1.7466666666666667e-05,3.8806819915771484,209.36
122,0.976,0.6112270355224609,1.72e-05,4.138981819152832,211.45
124,0.992,0.5536416172981262,1.6933333333333333e-05,3.8992221355438232,213.47
126,1.008,0.5942109823226929,1.6666666666666667e-05,3.6204752922058105,237.65
128,1.024,0.5407216548919678,1.64e-05,3.8704416751861572,239.71
130,1.04,0.4896881580352783,1.6133333333333334e-05,3.319883346557617,241.77
132,1.056,0.4922000765800476,1.5866666666666665e-05,3.6433563232421875,243.83
134,1.072,0.4938855767250061,1.56e-05,3.7501816749572754,245.85
136,1.088,0.4609714150428772,1.533333333333333e-05,3.4664556980133057,247.89
138,1.104,0.49727120995521545,1.5066666666666668e-05,3.1697607040405273,249.93
140,1.12,0.5897526144981384,1.48e-05,4.417733192443848,251.87
142,1.1360000000000001,0.5262395143508911,1.4533333333333334e-05,3.7205958366394043,253.91
144,1.152,0.4887728691101074,1.4266666666666667e-05,3.7934677600860596,255.96
146,1.168,0.47076988220214844,1.4e-05,3.559803009033203,258.08
