step,epoch,loss,lr,grad_norm,elapsed_s
2,0.004,0.7027941942214966,2.0000000000000002e-07,6.9173903465271,24.24
4,0.008,0.8089290857315063,6.000000000000001e-07,8.254045486450195,25.83
6,0.012,0.6718809604644775,1.0000000000000002e-06,7.1462321281433105,27.41
8,0.016,0.7061737775802612,1.4000000000000001e-06,8.182233810424805,29.01
10,0.02,0.7535219192504883,1.8000000000000001e-06,6.632948875427246,30.6
12,0.024,0.5659042000770569,2.2e-06,6.796337127685547,32.18
14,0.028,0.7536420226097107,2.6e-06,7.711997032165527,33.76
16,0.032,0.5421849489212036,3e-06,7.231023788452148,35.34
18,0.036,0.6031270027160645,3.4000000000000005e-06,6.973377704620361,36.93
20,0.04,0.6125743389129639,3.8000000000000005e-06,6.996286392211914,38.54
22,0.044,0.6916428804397583,4.2000000000000004e-06,7.071471214294434,40.15
24,0.048,0.9118695855140686,4.600000000000001e-06,8.745829582214355,41.76
26,0.052,0.7152693271636963,5e-06,7.649032115936279,43.36
28,0.056,0.8285932540893555,5.400000000000001e-06,8.267088890075684,44.94
30,0.06,0.7933108806610107,5.8e-06,7.697226524353027,46.57
32,0.064,0.7143335342407227,6.200000000000001e-06,8.041237831115723,48.18
34,0.068,0.8169876337051392,6.600000000000001e-06,8.46270751953125,49.76
36,0.072,0.6126070022583008,7e-06,6.626124858856201,51.36
38,0.076,0.6822249889373779,7.4e-06,7.596818447113037,52.84
40,0.08,0.725604772567749,7.800000000000002e-06,7.825178146362305,54.44
42,0.084,0.5948772430419922,8.2e-06,5.115617752075195,55.95
44,0.088,0.5290704965591431,8.6e-06,5.890984535217285,57.57
46,0.092,0.7029919624328613,9e-06,8.109050750732422,59.09
48,0.096,0.6248042583465576,9.4e-06,6.358475685119629,60.7
50,0.1,0.5606177449226379,9.800000000000001e-06,7.652756690979004,62.32
52,0.104,0.6818385124206543,9.977777777777778e-06,7.688045978546143,63.95
54,0.108,0.5216267108917236,9.933333333333334e-06,6.3298420906066895,65.57
56,0.112,0.5572614669799805,9.88888888888889e-06,6.753379821777344,67.08
58,0.116,0.5723986625671387,9.844444444444446e-06,7.168825149536133,68.79
60,0.12,0.6310352087020874,9.800000000000001e-06,6.310834884643555,70.46
62,0.124,0.46127215027809143,9.755555555555556e-06,6.115021705627441,72.16
64,0.128,0.7035866975784302,9.711111111111111e-06,7.028292655944824,73.82
66,0.132,0.5250722169876099,9.666666666666667e-06,5.423236846923828,75.33
68,0.136,0.6259860992431641,9.622222222222222e-06,6.37335205078125,76.92
70,0.14,0.644196629524231,9.577777777777779e-06,5.8659820556640625,78.41
72,0.144,0.5522205829620361,9.533333333333334e-06,5.978105545043945,80.03
74,0.148,0.4465036988258362,9.48888888888889e-06,4.934809684753418,81.74
76,0.152,0.5259092450141907,9.444444444444445e-06,6.288268566131592,83.41
78,0.156,0.6223241090774536,9.4e-06,7.647253036499023,85.14
80,0.16,0.4506576657295227,9.355555555555557e-06,4.335333824157715,86.8
82,0.164,0.6271178722381592,9.311111111111112e-06,5.042182445526123,88.43
84,0.168,0.7527071237564087,9.266666666666667e-06,8.464448928833008,90.08
86,0.172,0.6562443971633911,9.222222222222224e-06,6.27164363861084,91.69
88,0.176,0.6106894016265869,9.17777777777778e-06,6.2275848388671875,93.28
90,0.18,0.5283721089363098,9.133333333333335e-06,4.576148509979248,94.97
92,0.184,0.5602842569351196,9.08888888888889e-06,6.104920864105225,96.46
94,0.188,0.5693501234054565,9.044444444444445e-06,6.161419868469238,98.06
96,0.192,0.5839762687683105,9e-06,5.309311389923096,99.66
98,0.196,0.5498923063278198,8.955555555555555e-06,5.385427474975586,101.27
100,0.2,0.5609596967697144,8.91111111111111e-06,5.499227523803711,102.9
102,0.204,0.6006205081939697,8.866666666666668e-06,6.054964065551758,104.54
104,0.208,0.537426233291626,8.822222222222223e-06,5.317927360534668,106.17
106,0.212,0.4809415936470032,8.777777777777778e-06,4.512010097503662,107.8
108,0.216,0.47109127044677734,8.733333333333333e-06,4.7169270515441895,109.46
110,0.22,0.5432980060577393,8.68888888888889e-06,5.033571720123291,111.09
112,0.224,0.5381276607513428,8.644444444444445e-06,4.764089107513428,112.74
114,0.228,0.569071888923645,8.6e-06,5.2353949546813965,114.4
116,0.232,0.6187278032302856,8.555555555555556e-06,4.881375789642334,115.88
118,0.236,0.5232969522476196,8.511111111111113e-06,5.006821632385254,117.5
120,0.24,0.613037645816803,8.466666666666668e-06,5.427581787109375,119.13
122,0.244,0.4799780249595642,8.422222222222223e-06,4.976503849029541,120.83
124,0.248,0.5648897886276245,8.377777777777779e-06,5.376980304718018,122.51
126,0.252,0.5394698977470398,8.333333333333334e-06,4.776648044586182,147.37
128,0.256,0.5547111630439758,8.288888888888889e-06,4.9331583976745605,149.07
130,0.26,0.592322587966919,8.244444444444444e-06,5.859991073608398,150.77
132,0.264,0.6846554279327393,8.2e-06,5.855432033538818,152.47
134,0.268,0.5785149335861206,8.155555555555556e-06,5.617474555969238,154.21
136,0.272,0.5280115604400635,8.111111111111112e-06,4.797210693359375,155.92
138,0.276,0.6409895420074463,8.066666666666667e-06,6.4677510261535645,157.62
140,0.28,0.6073009371757507,8.022222222222222e-06,6.077367305755615,159.34
142,0.284,0.5684835910797119,7.977777777777779e-06,4.847624778747559,161.08
144,0.288,0.5844929218292236,7.933333333333334e-06,6.970457077026367,162.82
146,0.292,0.5889297723770142,7.88888888888889e-06,4.9126296043396,164.52
148,0.296,0.5410056114196777,7.844444444444446e-06,4.747122764587402,166.27
150,0.3,0.5509405136108398,7.800000000000002e-06,5.073064804077148,167.98
152,0.304,0.6107304096221924,7.755555555555557e-06,5.806079864501953,169.6
154,0.308,0.5731855630874634,7.711111111111112e-06,5.309582233428955,171.22
156,0.312,0.46768224239349365,7.666666666666667e-06,5.392723083496094,172.99
158,0.316,0.5812471508979797,7.622222222222223e-06,5.678510665893555,174.73
160,0.32,0.5130650997161865,7.5777777777777785e-06,4.762575626373291,176.29
162,0.324,0.5121500492095947,7.533333333333334e-06,5.279664993286133,178.01
164,0.328,0.5769091844558716,7.48888888888889e-06,5.225403308868408,179.58
166,0.332,0.664242148399353,7.444444444444445e-06,6.083750247955322,181.19
168,0.336,0.5762760639190674,7.4e-06,4.979244232177734,182.8
170,0.34,0.5387061834335327,7.3555555555555555e-06,4.82019567489624,184.42
172,0.344,0.5449712872505188,7.3111111111111125e-06,4.650020122528076,186.05
174,0.348,0.480441689491272,7.266666666666668e-06,4.710008144378662,187.64
176,0.352,0.5702568292617798,7.222222222222223e-06,4.856189727783203,189.23
178,0.356,0.5046728849411011,7.177777777777778e-06,5.270843029022217,190.84
180,0.36,0.6244877576828003,7.133333333333334e-06,6.206795692443848,192.45
182,0.364,0.5385607481002808,7.0888888888888894e-06,5.001095294952393,194.08
184,0.368,0.4889635443687439,7.044444444444445e-06,5.552867412567139,195.68
186,0.372,0.49775952100753784,7e-06,5.497684478759766,197.3
188,0.376,0.6171063184738159,6.955555555555557e-06,5.634327411651611,199.1
190,0.38,0.5350356101989746,6.911111111111112e-06,4.892232894897461,200.7
192,0.384,0.5926206111907959,6.866666666666667e-06,5.278018474578857,202.31
194,0.388,0.45489174127578735,6.8222222222222225e-06,3.955298900604248,203.9
196,0.392,0.6291548609733582,6.777777777777779e-06,5.977833271026611,205.51
198,0.396,0.5581606030464172,6.733333333333334e-06,5.179587364196777,207.12
200,0.4,0.5881662964820862,6.688888888888889e-06,5.99415922164917,208.61
202,0.404,0.5461822748184204,6.644444444444444e-06,5.678831577301025,210.22
204,0.408,0.6359900236129761,6.600000000000001e-06,5.429403305053711,211.84
206,0.412,0.6036513447761536,6.555555555555556e-06,5.60739803314209,213.44
208,0.416,0.5485292673110962,6.511111111111112e-06,5.7697529792785645,215.08
210,0.42,0.5984331965446472,6.466666666666667e-06,6.578469276428223,216.68
212,0.424,0.5445491075515747,6.422222222222223e-06,5.440509796142578,218.28
214,0.428,0.5514408946037292,6.377777777777778e-06,5.357280254364014,219.89
216,0.432,0.578065812587738,6.333333333333333e-06,5.65618371963501,221.5
218,0.436,0.5512856245040894,6.28888888888889e-06,5.236402988433838,223.12
220,0.44,0.4989379644393921,6.2444444444444456e-06,4.576335906982422,224.74
222,0.444,0.461728572845459,6.200000000000001e-06,4.46165132522583,226.35
224,0.448,0.5893406867980957,6.155555555555556e-06,5.791763782501221,227.98
226,0.452,0.5563685894012451,6.111111111111112e-06,5.562370300292969,229.57
228,0.456,0.5369625687599182,6.066666666666667e-06,5.172770023345947,231.18
230,0.46,0.5377417802810669,6.0222222222222225e-06,5.000825881958008,232.7
232,0.464,0.45707181096076965,5.977777777777778e-06,3.8127522468566895,234.32
234,0.468,0.5432217717170715,5.933333333333335e-06,5.350934982299805,236.01
236,0.472,0.699175238609314,5.88888888888889e-06,6.123567581176758,237.75
238,0.476,0.5658419132232666,5.844444444444445e-06,6.2971978187561035,239.38
240,0.48,0.6804561614990234,5.8e-06,5.533549785614014,241.0
242,0.484,0.5653323531150818,5.7555555555555564e-06,5.001367568969727,242.61
244,0.488,0.4858454167842865,5.711111111111112e-06,4.4758524894714355,244.23
246,0.492,0.616127610206604,5.666666666666667e-06,5.387099266052246,245.84
248,0.496,0.5719524621963501,5.622222222222222e-06,5.08156681060791,247.35
250,0.5,0.6518632173538208,5.577777777777778e-06,6.498271465301514,248.81
252,0.504,0.5180045366287231,5.533333333333334e-06,4.800678253173828,274.78
254,0.508,0.5086725950241089,5.4888888888888895e-06,5.4586029052734375,276.43
256,0.512,0.7433750629425049,5.444444444444445e-06,6.7350921630859375,277.79
258,0.516,0.4410915970802307,5.400000000000001e-06,4.613370418548584,279.39
260,0.52,0.7011899352073669,5.355555555555556e-06,6.781846046447754,281.0
262,0.524,0.5199667811393738,5.311111111111111e-06,5.539515018463135,282.58
264,0.528,0.6185325384140015,5.2666666666666665e-06,5.783515930175781,284.19
266,0.532,0.6643511056900024,5.2222222222222226e-06,6.488476276397705,285.77
268,0.536,0.48453712463378906,5.177777777777779e-06,4.427950859069824,287.43
270,0.54,0.5177929401397705,5.133333333333334e-06,5.6361799240112305,289.05
272,0.544,0.5211881399154663,5.088888888888889e-06,5.173224925994873,290.67
274,0.548,0.5276721715927124,5.044444444444445e-06,5.173273086547852,292.3
276,0.552,0.6818288564682007,5e-06,6.5229387283325195,293.9
278,0.556,0.6294684410095215,4.9555555555555565e-06,5.631446361541748,295.5
280,0.56,0.5924664735794067,4.911111111111112e-06,5.333033561706543,297.09
282,0.564,0.4129314422607422,4.866666666666667e-06,4.908028602600098,298.7
284,0.568,0.7670408487319946,4.822222222222222e-06,7.3915815353393555,300.32
286,0.572,0.5166964530944824,4.777777777777778e-06,5.1399431228637695,301.93
288,0.576,0.4488358497619629,4.7333333333333335e-06,5.02626371383667,303.51
290,0.58,0.531916618347168,4.6888888888888895e-06,5.015073776245117,305.1
292,0.584,0.5307497978210449,4.644444444444445e-06,5.1679816246032715,306.71
294,0.588,0.49195098876953125,4.600000000000001e-06,4.905580043792725,308.3
296,0.592,0.6236256957054138,4.555555555555556e-06,5.082154273986816,309.92
298,0.596,0.4983060359954834,4.511111111111111e-06,5.093475818634033,311.5
300,0.6,0.5417084097862244,4.4666666666666665e-06,4.808109760284424,313.01
302,0.604,0.44572508335113525,4.422222222222223e-06,4.883017539978027,314.51
304,0.608,0.5205426216125488,4.377777777777778e-06,4.90848970413208,316.13
306,0.612,0.4942663908004761,4.333333333333334e-06,5.332746982574463,317.73
308,0.616,0.6088488698005676,4.288888888888889e-06,5.406504154205322,319.37
310,0.62,0.6252337098121643,4.244444444444445e-06,6.003265857696533,321.0
312,0.624,0.6478193402290344,4.2000000000000004e-06,5.214768886566162,322.63
314,0.628,0.5819228291511536,4.155555555555556e-06,5.461448669433594,324.26
316,0.632,0.5288298726081848,4.111111111111111e-06,5.151431560516357,325.88
318,0.636,0.5253826379776001,4.066666666666667e-06,4.90570068359375,327.49
320,0.64,0.4291054606437683,4.022222222222222e-06,4.996383190155029,329.1
322,0.644,0.5143713355064392,3.977777777777778e-06,5.187175750732422,330.6
324,0.648,0.5635141134262085,3.9333333333333335e-06,5.117737770080566,332.22
326,0.652,0.5844902992248535,3.88888888888889e-06,5.500967979431152,334.01
328,0.656,0.6143880486488342,3.844444444444445e-06,4.575303077697754,335.52
330,0.66,0.4701603055000305,3.8000000000000005e-06,4.628364562988281,337.06
332,0.664,0.49074000120162964,3.7555555555555557e-06,4.2929368019104,338.66
334,0.668,0.39050114154815674,3.7111111111111113e-06,4.236340045928955,340.26
336,0.672,0.6674299240112305,3.6666666666666666e-06,4.685235023498535,341.86
338,0.676,0.5167129039764404,3.6222222222222226e-06,4.93241548538208,343.48
340,0.68,0.5691109299659729,3.577777777777778e-06,5.844536781311035,345.09
342,0.684,0.5422128438949585,3.5333333333333335e-06,5.1776323318481445,346.69
344,0.688,0.524630069732666,3.4888888888888896e-06,4.5679030418396,348.3
346,0.692,0.5285699367523193,3.444444444444445e-06,5.228930473327637,349.91
348,0.696,0.5321314334869385,3.4000000000000005e-06,4.5746002197265625,351.53
350,0.7,0.6425411701202393,3.3555555555555557e-06,5.764096260070801,353.16
352,0.704,0.511432409286499,3.3111111111111118e-06,5.374464988708496,354.66
354,0.708,0.5504614114761353,3.266666666666667e-06,5.0825371742248535,356.27
356,0.712,0.6016641855239868,3.2222222222222227e-06,5.320799827575684,357.88
358,0.716,0.5395219326019287,3.177777777777778e-06,5.213574409484863,359.5
360,0.72,0.5278489589691162,3.133333333333334e-06,5.715345859527588,361.13
362,0.724,0.5908077359199524,3.088888888888889e-06,5.627125263214111,362.75
364,0.728,0.6084271669387817,3.044444444444445e-06,6.131686210632324,364.38
366,0.732,0.43550050258636475,3e-06,4.935660362243652,366.0
368,0.736,0.5837831497192383,2.955555555555556e-06,5.832854270935059,367.61
370,0.74,0.6077132821083069,2.9111111111111114e-06,5.831857204437256,369.23
372,0.744,0.5500555634498596,2.866666666666667e-06,4.550732135772705,370.84
374,0.748,0.6548327207565308,2.8222222222222223e-06,6.743045330047607,372.36
376,0.752,0.664137065410614,2.7777777777777783e-06,6.873837947845459,396.19
378,0.756,0.5620499849319458,2.7333333333333336e-06,5.305992603302002,397.89
380,0.76,0.48300474882125854,2.6888888888888892e-06,5.015831470489502,399.52
382,0.764,0.6915655136108398,2.6444444444444444e-06,6.45169734954834,401.04
384,0.768,0.5663489103317261,2.6e-06,6.09194803237915,402.68
386,0.772,0.6138756275177002,2.5555555555555557e-06,5.96086311340332,404.3
388,0.776,0.5645628571510315,2.5111111111111114e-06,5.510875225067139,405.91
390,0.78,0.46283453702926636,2.466666666666667e-06,5.272764682769775,407.53
392,0.784,0.532597005367279,2.4222222222222223e-06,5.701176643371582,409.14
394,0.788,0.4627479314804077,2.377777777777778e-06,4.13501501083374,410.75
396,0.792,0.6265716552734375,2.3333333333333336e-06,5.7961955070495605,412.36
398,0.796,0.6052935123443604,2.2888888888888892e-06,6.33021879196167,413.99
400,0.8,0.6910724639892578,2.2444444444444445e-06,5.235725402832031,415.51
402,0.804,0.5581426620483398,2.2e-06,5.800756931304932,417.1
404,0.808,0.495327353477478,2.1555555555555558e-06,5.477138996124268,418.7
406,0.812,0.511570930480957,2.1111111111111114e-06,4.872570037841797,420.33
408,0.816,0.46355578303337097,2.0666666666666666e-06,4.906134605407715,421.95
410,0.82,0.43414321541786194,2.0222222222222223e-06,4.394101619720459,423.45
412,0.824,0.49686098098754883,1.977777777777778e-06,5.444786548614502,425.06
414,0.828,0.557782769203186,1.9333333333333336e-06,5.2726335525512695,426.56
416,0.832,0.4838275909423828,1.888888888888889e-06,5.385416507720947,428.17
418,0.836,0.5679504871368408,1.8444444444444445e-06,7.193880081176758,429.78
420,0.84,0.7045092582702637,1.8000000000000001e-06,5.954129695892334,431.38
422,0.844,0.5378602743148804,1.7555555555555556e-06,5.445825099945068,433.01
424,0.848,0.6076171398162842,1.7111111111111112e-06,5.528703212738037,434.64
426,0.852,0.5482947826385498,1.6666666666666667e-06,4.1897759437561035,436.14
428,0.856,0.5531513690948486,1.6222222222222223e-06,5.108644962310791,437.75
430,0.86,0.5246729850769043,1.5777777777777778e-06,4.479282379150391,439.37
432,0.864,0.4865979552268982,1.5333333333333334e-06,5.364737510681152,441.04
434,0.868,0.526522159576416,1.4888888888888888e-06,5.04278039932251,442.54
436,0.872,0.45021653175354004,1.4444444444444445e-06,5.162513732910156,444.05
438,0.876,0.6061081886291504,1.4000000000000001e-06,5.932667255401611,445.69
440,0.88,0.6583395004272461,1.3555555555555558e-06,5.913578510284424,447.29
442,0.884,0.5123894810676575,1.3111111111111112e-06,4.55968713760376,448.89
444,0.888,0.47835201025009155,1.2666666666666669e-06,5.481540203094482,450.5
446,0.892,0.49693775177001953,1.2222222222222223e-06,5.5696635246276855,452.11
448,0.896,0.5329089164733887,1.1777777777777778e-06,5.046472549438477,453.72
450,0.9,0.5135225057601929,1.1333333333333334e-06,5.082051753997803,455.36
452,0.904,0.5095047950744629,1.0888888888888889e-06,5.114002227783203,456.99
454,0.908,0.544540524482727,1.0444444444444445e-06,5.350078582763672,458.61
456,0.912,0.4696579873561859,1.0000000000000002e-06,4.468333721160889,460.22
458,0.916,0.4044688045978546,9.555555555555556e-07,4.316120147705078,461.84
460,0.92,0.5310274958610535,9.111111111111113e-07,5.36545467376709,463.31
462,0.924,0.5225558876991272,8.666666666666668e-07,5.9164018630981445,464.91
