step,epoch,loss,lr,grad_norm,elapsed_s
2,0.016,4.229009628295898,7.894736842105263e-07,8.468925476074219,24.03
4,0.032,4.037610054016113,2.368421052631579e-06,9.582433700561523,26.01
6,0.048,4.0979743003845215,3.9473684210526315e-06,8.934426307678223,28.03
8,0.064,3.9648890495300293,5.526315789473684e-06,9.45444393157959,30.03
10,0.08,3.989194631576538,7.105263157894737e-06,9.421113014221191,32.07
12,0.096,3.742185115814209,8.68421052631579e-06,10.180449485778809,34.06
14,0.112,3.6260454654693604,1.0263157894736843e-05,10.296102523803711,36.01
16,0.128,3.253014087677002,1.1842105263157895e-05,11.325623512268066,38.02
18,0.144,3.063735008239746,1.3421052631578948e-05,12.110274314880371,40.02
20,0.16,2.64255952835083,1.5e-05,12.653801918029785,42.06
22,0.176,2.2130537033081055,1.6578947368421053e-05,12.331189155578613,44.13
24,0.192,1.9022891521453857,1.8157894736842107e-05,11.370502471923828,46.1
26,0.208,1.580864429473877,1.9736842105263158e-05,9.174118041992188,48.08
28,0.224,1.1956050395965576,2.1315789473684212e-05,6.763438701629639,50.09
30,0.24,1.1539647579193115,2.2894736842105263e-05,5.680747985839844,52.11
32,0.256,0.9261951446533203,2.4473684210526318e-05,5.293210506439209,74.96
34,0.272,0.9425829648971558,2.605263157894737e-05,4.930574893951416,77.02
36,0.288,0.8524379730224609,2.7631578947368423e-05,4.696615219116211,79.02
38,0.304,0.8850275278091431,2.9210526315789474e-05,4.5848493576049805,81.0
40,0.32,0.8431659936904907,2.9910979228486648e-05,5.43834924697876,83.03
42,0.336,0.7007431983947754,2.973293768545994e-05,4.51322078704834,85.03
44,0.352,0.7402589321136475,2.9554896142433235e-05,4.670403957366943,86.94
46,0.368,0.6957622170448303,2.937685459940653e-05,4.701326847076416,88.99
48,0.384,0.7584401369094849,2.9198813056379822e-05,4.472807884216309,91.01
50,0.4,0.815302848815918,2.9020771513353116e-05,4.531259059906006,93.01
52,0.416,0.7833552956581116,2.884272997032641e-05,4.5962395668029785,95.13
54,0.432,0.762644350528717,2.8664688427299703e-05,4.690829753875732,97.18
56,0.448,0.743578314781189,2.8486646884273e-05,3.9510459899902344,99.18
58,0.464,0.7595364451408386,2.8308605341246294e-05,4.169066905975342,101.12
60,0.48,0.7118210196495056,2.8130563798219584e-05,4.320155143737793,103.19
