step,epoch,loss,lr,grad_norm,elapsed_s
2,0.004,0.7248666882514954,2.0000000000000002e-07,7.078742504119873,24.72
4,0.008,0.8411580324172974,6.000000000000001e-07,8.497879981994629,26.32
6,0.012,0.6765707731246948,1.0000000000000002e-06,7.084650039672852,27.89
8,0.016,0.6890082359313965,1.4000000000000001e-06,8.348365783691406,29.49
10,0.02,0.7912049293518066,1.8000000000000001e-06,7.027552127838135,31.08
12,0.024,0.5691115856170654,2.2e-06,7.0189595222473145,32.67
14,0.028,0.7766536474227905,2.6e-06,8.039072036743164,34.25
16,0.032,0.5283430814743042,3e-06,7.086294651031494,35.83
18,0.036,0.5970938205718994,3.4000000000000005e-06,6.931332588195801,37.45
20,0.04,0.6096464991569519,3.8000000000000005e-06,7.206191539764404,39.03
22,0.044,0.6906604170799255,4.2000000000000004e-06,6.577653884887695,40.63
24,0.048,0.9285829067230225,4.600000000000001e-06,9.267545700073242,42.22
26,0.052,0.6836692094802856,5e-06,7.644012928009033,43.82
28,0.056,0.8389276266098022,5.400000000000001e-06,8.513493537902832,45.4
30,0.06,0.8176305294036865,5.8e-06,8.078235626220703,47.0
32,0.064,0.6980516910552979,6.200000000000001e-06,8.08253002166748,48.59
34,0.068,0.8227219581604004,6.600000000000001e-06,8.978087425231934,50.15
36,0.072,0.6108571290969849,7e-06,6.762157917022705,51.73
38,0.076,0.662879228591919,7.4e-06,7.348016738891602,53.17
40,0.08,0.7162255048751831,7.800000000000002e-06,8.093052864074707,54.75
42,0.084,0.5780417919158936,8.2e-06,5.091367244720459,56.21
44,0.088,0.5314796566963196,8.6e-06,5.766164302825928,57.8
46,0.092,0.7270016670227051,9e-06,8.711261749267578,59.25
48,0.096,0.6364885568618774,9.4e-06,6.506229877471924,60.84
50,0.1,0.5750067830085754,9.800000000000001e-06,7.731053829193115,62.43
52,0.104,0.669878363609314,9.977777777777778e-06,7.883167266845703,64.03
54,0.108,0.4914783239364624,9.933333333333334e-06,6.141402244567871,65.63
56,0.112,0.5676815509796143,9.88888888888889e-06,6.706287384033203,67.12
58,0.116,0.5840485095977783,9.844444444444446e-06,7.347609519958496,68.72
60,0.12,0.6335306167602539,9.800000000000001e-06,6.351347923278809,70.27
62,0.124,0.4439302086830139,9.755555555555556e-06,6.056748867034912,71.88
64,0.128,0.7017698287963867,9.711111111111111e-06,7.326444625854492,73.48
66,0.132,0.5165324807167053,9.666666666666667e-06,5.402645111083984,74.98
68,0.136,0.6219345331192017,9.622222222222222e-06,6.141901016235352,76.54
70,0.14,0.6071367859840393,9.577777777777779e-06,5.614323616027832,78.02
72,0.144,0.5428375005722046,9.533333333333334e-06,5.948668003082275,79.62
74,0.148,0.4543817639350891,9.48888888888889e-06,5.028715133666992,81.22
